"","Row.names","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","SYMBOL","ENTREZID"
"171","AGO3",1.64960413142843e-20,0.997836495347216,0.056,0.024,2.5215848753015e-16,"AGO3","192669"
"172","AGO4",3.65379263161953e-11,0.832942152362397,0.021,0.008,5.58518741669361e-07,"AGO4","192670"
"173","AGPAT1",1.03176649924786e-09,-0.101211343231598,0.09,0.06,1.57715827075028e-05,"AGPAT1","10554"
"174","AGPAT3",6.93762149134176e-07,-0.0447948716256061,0.121,0.091,0.010604848211665,"AGPAT3","56894"
"175","AGPAT4",1.76981657094696e-50,2.78164286863328,0.042,0.005,2.70534161034953e-46,"AGPAT4","56895"
"176","AGPAT5",9.39406639887679e-24,0.0152370780026061,0.075,0.034,1.43597698973231e-19,"AGPAT5","55326"
"177","AGPS",3.45880439973044e-42,0.436847633226634,0.094,0.035,5.28712840542795e-38,"AGPS","8540"
"178","AGR2",0,1.79739648133001,0.752,0.499,0,"AGR2","10551"
"179","AGR3",1.98537215831194e-147,0.849712749840736,0.443,0.223,3.03483988119563e-143,"AGR3","155465"
"180","AGRN",4.25696762511869e-66,1.73374960682402,0.087,0.021,6.50720071175644e-62,"AGRN","375790"
"181","AGTPBP1",3.10399209751848e-10,0.582803888897066,0.012,0.003,4.74476232026675e-06,"AGTPBP1","23287"
"182","AGTRAP",8.22791468469421e-76,0.657218901452286,0.094,0.021,1.25771903870236e-71,"AGTRAP","57085"
"183","AGXT",2.71979844913629e-07,-1.92163694180568,0.007,0.018,0.00415748390934974,"AGXT","189"
"184","AHCTF1",1.08995585941243e-12,0.61253429798869,0.033,0.014,1.66610652669785e-08,"AHCTF1","25909"
"185","AHCY",9.29116954282095e-50,0.0583013229607735,0.184,0.09,1.42024817631561e-45,"AHCY","191"
"186","AHCYL1",2.17082592452968e-70,0.824078783884685,0.189,0.081,3.31832450823607e-66,"AHCYL1","10768"
"187","AHDC1",4.15298506713953e-14,1.03703060617213,0.035,0.014,6.34825297362949e-10,"AHDC1","27245"
"188","AHI1",8.79720070982825e-59,1.08947806293089,0.105,0.033,1.34474010050435e-54,"AHI1","54806"
"189","AHNAK",9.3155707844763e-42,0.351761672114174,0.386,0.262,1.42397815011505e-37,"AHNAK","79026"
"190","AHNAK2",3.13313577351051e-18,4.68516818383249,0.011,0,4.78931134338817e-14,"AHNAK2","113146"
"191","AHR",5.28698893279091e-75,1.61929457987896,0.073,0.011,8.08169128266418e-71,"AHR","196"
"192","AHSA1",1.18330847789272e-22,0.0179214690725263,0.202,0.131,1.80880533930681e-18,"AHSA1","10598"
