"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","pct.diff"
"314","CDV3",0,1.43854895390938,0.166,0.064,0,0.102
"315","SCD",0,3.50715150155904,0.113,0.011,0,0.102
"316","SYNCRIP",0,1.31789742008707,0.175,0.073,0,0.102
"317","DYNC1I2",0,1.17885246421086,0.19,0.089,0,0.101
"318","TOB1",0,1.26323501872479,0.184,0.083,0,0.101
"319","NEAT1",0,0.797433865508809,0.768,0.667,0,0.101
"320","FOS",0,0.663776982377047,0.69,0.589,0,0.101
"321","NUCB2",0,1.05998581540534,0.194,0.094,0,0.1
"322","TOP1",0,1.07645729450388,0.192,0.092,0,0.1
"323","DNAJB11",0,1.1409664674297,0.186,0.087,0,0.099
"324","TMEM167A",0,1.09244750270762,0.185,0.086,0,0.099
"325","HLA-DRB5",0,2.55125679810405,0.127,0.028,0,0.099
"326","TAP1",0,1.35531067346525,0.169,0.07,0,0.099
"327","NCOA7",0,1.94108481698749,0.139,0.04,0,0.099
"328","SULT1A2",0,-2.04830567359469,0.041,0.14,0,-0.099
"329","ZFAND5",0,1.18164929696782,0.176,0.078,0,0.098
"330","SRM",0,1.47326417808157,0.156,0.059,0,0.097
"331","SLC39A8",0,1.49379244259639,0.154,0.057,0,0.097
"332","MYO6",0,1.458402027641,0.161,0.064,0,0.097
"333","TRIB1",0,1.46133966485201,0.155,0.058,0,0.097
"334","RNF145",0,1.74012377618256,0.145,0.048,0,0.097
"335","ST3GAL4",0,1.92776958595974,0.131,0.035,0,0.096
"336","TBL1XR1",0,1.52357029414726,0.148,0.053,0,0.095
"337","HLA-DQB1",0,3.33851632777935,0.106,0.011,0,0.095
"338","RNF213",0,1.75926842988252,0.153,0.058,0,0.095
"339","ERLEC1",0,1.25650575375569,0.16,0.066,0,0.094
"340","HIF1A",0,1.8106364566505,0.133,0.039,0,0.094
"341","TFF3",0,0.320917480590742,0.796,0.703,0,0.0930000000000001
"342","CDC42SE2",0,1.24142296770855,0.165,0.072,0,0.093
"343","UBE2J1",0,1.28245297785341,0.151,0.058,0,0.093
"344","ADAM15",0,1.23808943547757,0.163,0.071,0,0.092
"345","G3BP2",0,1.48837153244758,0.143,0.051,0,0.092
"346","G3BP1",0,1.20467669541396,0.162,0.07,0,0.092
"347","BCLAF1",0,1.37154769307801,0.152,0.06,0,0.092
"348","ANXA3",0,1.71454586629845,0.142,0.05,0,0.092
"349","SLC38A1",0,1.27863940143203,0.156,0.065,0,0.091
"350","TC2N",0,2.02722414043883,0.122,0.031,0,0.091
"351","SOX9",0,1.46293236365079,0.149,0.058,0,0.091
"352","FAM3D",0,0.792815650028945,0.761,0.67,0,0.091
"353","IFITM2",0,1.6368983044874,0.133,0.044,0,0.089
"354","PTBP3",0,1.41484895450666,0.144,0.055,0,0.089
"355","FXYD5",0,3.65445469168337,0.097,0.008,0,0.089
"356","SEC31A",0,1.69385787101115,0.129,0.041,0,0.088
"357","SRSF6",0,1.44772508673807,0.142,0.054,0,0.088
"358","KDELR3",0,3.00007399290028,0.099,0.012,0,0.087
"359","DNAJC10",0,2.4263534625841,0.109,0.022,0,0.087
"360","TSPYL1",0,1.81028485903379,0.121,0.035,0,0.086
"361","B3GALT5",0,1.8057943457844,0.127,0.041,0,0.086
"362","MZB1",0,2.90734491425306,0.102,0.017,0,0.085
"363","FAM3B",0,-3.82991160476778,0.008,0.093,0,-0.085
"364","EPHA2",0,2.13109803945834,0.11,0.026,0,0.084
"365","HMGCS1",0,1.70418463443342,0.129,0.045,0,0.084
"366","PMAIP1",0,1.67792278984875,0.122,0.038,0,0.084
"367","MLPH",0,1.49160216801155,0.129,0.046,0,0.083
"368","INSIG1",0,2.12841910441295,0.111,0.028,0,0.083
"369","LMO4",0,1.81204449413695,0.119,0.036,0,0.083
"370","JAK1",0,1.37933038560432,0.134,0.052,0,0.082
"371","ERRFI1",0,2.0428954371978,0.112,0.03,0,0.082
"372","SDR16C5",0,3.34361712584625,0.092,0.01,0,0.082
"373","SERPINB5",0,5.96261797853714,0.084,0.002,0,0.082
"374","STAT1",0,2.12707640869795,0.108,0.027,0,0.081
"375","MSI2",0,1.82227784740877,0.113,0.032,0,0.081
"376","MAFF",0,1.57201634023977,0.118,0.037,0,0.081
"377","PKN2",0,1.39249763008799,0.132,0.052,0,0.08
"378","HBEGF",0,1.74814029011313,0.116,0.036,0,0.08
"379","SIK1",0,2.35402596139778,0.1,0.02,0,0.08
"380","APOBEC3B",0,-3.00104395617951,0.019,0.099,0,-0.08
"381","ATRX",0,1.49713260262933,0.126,0.046,0,0.08
"382","NFIB",0,1.63271211538206,0.12,0.04,0,0.08
"383","MTHFD2",0,1.73239374730984,0.111,0.032,0,0.079
"384","SI",0,3.37920592937938,0.09,0.011,0,0.079
"385","TMED7",0,1.48689013043081,0.122,0.043,0,0.079
"386","ABHD2",0,1.55630313801632,0.124,0.045,0,0.079
"387","PRKAR1A",0,1.36814739223063,0.127,0.048,0,0.079
"388","SOCS3",0,2.73540979059598,0.095,0.016,0,0.079
"389","BPTF",0,1.40189264529764,0.13,0.052,0,0.078
"390","IFI16",0,3.26404673136796,0.087,0.009,0,0.078
"391","ADAM9",0,2.03412997453338,0.104,0.026,0,0.078
"392","ANXA1",0,3.30952060227172,0.09,0.012,0,0.078
"393","BIRC3",0,1.98557714980426,0.122,0.044,0,0.078
"394","ABHD17C",0,1.42113724968251,0.126,0.048,0,0.078
"395","ACSL3",0,1.55612134550196,0.116,0.039,0,0.077
"396","SLC51A",0,-3.61897501220173,0.008,0.085,0,-0.077
"397","TM4SF1",0,2.17899875783035,0.109,0.032,0,0.077
"398","SQLE",0,2.00048862907305,0.106,0.029,0,0.077
"399","SLC25A5",0,-0.560285209417647,0.745,0.822,0,-0.077
"400","IBTK",0,1.89869635618947,0.103,0.028,0,0.075
"401","KCTD12",0,3.51996336556136,0.082,0.007,0,0.075
"402","H3F3B",0,0.549715703178585,0.855,0.78,0,0.075
"403","CALU",0,2.02402597550416,0.097,0.023,0,0.074
"404","LGALS3",0,-0.46816794979348,0.873,0.947,0,-0.074
"405","FXYD3",0,-0.599533979419566,0.846,0.919,0,-0.0730000000000001
"406","PPP3CA",0,1.91397093043824,0.101,0.028,0,0.073
"407","LGR4",0,1.58896169252517,0.112,0.039,0,0.073
"408","CASC4",0,1.52840830657415,0.114,0.041,0,0.073
"409","PPP1R12B",0,2.47046094577873,0.09,0.017,0,0.073
"410","ACBD3",0,1.78825313376566,0.102,0.029,0,0.073
"411","GALNT5",0,2.34813600049958,0.09,0.017,0,0.073
"412","CPD",0,2.11120492462766,0.094,0.022,0,0.072
"413","SKIL",0,2.38186542438434,0.091,0.019,0,0.072
"414","NOS2",0,3.58110528344019,0.085,0.014,0,0.071
"415","LINC00261",0,3.32871805374187,0.081,0.01,0,0.071
