"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"EEF1A1P5",2.26803970663086e-10,1.35854651515545,0.707,0.624,1.35721764084497e-05,"3","EEF1A1P5"
"LINC02273",2.53897307546748e-10,3.06299049589404,0.07,0.008,1.5193468780905e-05,"3","LINC02273"
"CD841",2.76051843284827e-10,0.923981355857214,0.419,0.216,1.65192183540074e-05,"3","CD84"
"RGCC1",2.99269132407408e-10,1.2906321386339,0.275,0.118,1.79085641523917e-05,"3","RGCC"
"MSC",3.11672842711229e-10,3.87981167513269,0.057,0.004,1.86508145806826e-05,"3","MSC"
"UBA52",3.23479385545811e-10,0.829866091127497,0.799,0.764,1.93573299104469e-05,"3","UBA52"
"LITAF",3.41470752884505e-10,0.821973067617876,0.493,0.283,2.04339513233617e-05,"3","LITAF"
"MT1E",3.49480094995334e-10,3.20669978910819,0.057,0.004,2.09132383646158e-05,"3","MT1E"
"RORC",3.53056109551192e-10,7.25087971196547,0.035,0,2.11272306516529e-05,"3","RORC"
"CCR4",3.53056109551192e-10,6.36713994128609,0.035,0,2.11272306516529e-05,"3","CCR4"
"CCR2",3.53056109551192e-10,7.64133513432324,0.035,0,2.11272306516529e-05,"3","CCR2"
"PACSIN1",3.53056109551192e-10,7.44691885575568,0.035,0,2.11272306516529e-05,"3","PACSIN1"
"PIK3R5",3.94282427545736e-10,0.880920082256118,0.271,0.112,2.35942547467644e-05,"3","PIK3R5"
"HLA-E1",3.94879080240736e-10,0.605931004894643,0.926,0.926,2.36299590406859e-05,"3","HLA-E"
"GRSF1",4.037425420584e-10,0.609871040887215,0.358,0.171,2.41603574593167e-05,"3","GRSF1"
"CPNE2",4.36376964714083e-10,7.21326821652802,0.052,0.004,2.61132339454554e-05,"3","CPNE2"
"BATF",4.40424358553248e-10,1.65512717687348,0.201,0.069,2.63554340401849e-05,"3","BATF"
"ATP2B41",4.54909413948951e-10,0.73195350798517,0.48,0.267,2.72222342401192e-05,"3","ATP2B4"
"GZMAP1",4.79893935855031e-10,3.7924492666349,0.052,0.004,2.87173330155009e-05,"3","GZMAP1"
"LRATD2",4.79893935855031e-10,4.54203391828728,0.052,0.004,2.87173330155009e-05,"3","LRATD2"
"ARHGAP31",4.91700431728263e-10,2.73445689180502,0.074,0.01,2.9423845535051e-05,"3","ARHGAP31"
"PDE4DIPP2",5.15202379123957e-10,1.92311597725394,0.148,0.042,3.08302255691567e-05,"3","PDE4DIPP2"
"TMSB4XP4",5.70068969100751e-10,1.29095932602503,0.297,0.5,3.4113497179958e-05,"3","TMSB4XP4"
